physical_index,global_output
0,0
1,1
2,2
3,3
4,4
5,10
6,11
7,12
8,13
9,14
10,20
11,21
12,22
13,23
14,24
15,30
16,31
17,32
18,33
19,34
20,40
21,41
22,42
23,43
24,44
25,50
26,51
27,52
28,53
29,54
30,60
31,61
32,62
33,63
34,64
35,70
36,71
37,72
38,73
39,74
40,80
41,81
42,82
43,83
44,84
45,90
46,91
47,92
48,93
49,94
50,100
51,101
52,102
53,103
54,104
55,110
56,111
57,112
58,113
59,114
60,120
61,121
62,122
63,123
64,124
65,130
66,131
67,132
68,133
69,134
70,140
71,141
72,142
73,143
74,144
75,150
76,151
77,152
78,153
79,154
80,160
81,161
82,162
83,163
84,164
85,170
86,171
87,172
88,173
89,174
90,180
91,181
92,182
93,183
94,184
95,190
96,191
97,192
98,193
99,194
100,200
101,201
102,202
103,203
104,204
105,210
106,211
107,212
108,213
109,214
110,220
111,221
112,222
113,223
114,224
115,230
116,231
117,232
118,233
119,234
120,240
121,241
122,242
123,243
124,244
125,250
126,251
127,252
128,253
129,254
130,260
131,261
132,262
133,263
134,264
135,270
136,271
137,272
138,273
139,274
140,280
141,281
142,282
143,283
144,284
145,290
146,291
147,292
148,293
149,294
150,300
151,301
152,302
153,303
154,304
155,310
156,311
157,312
158,313
159,314
160,5
161,6
162,7
163,8
164,9
165,15
166,16
167,17
168,18
169,19
170,25
171,26
172,27
173,28
174,29
175,35
176,36
177,37
178,38
179,39
180,45
181,46
182,47
183,48
184,49
185,55
186,56
187,57
188,58
189,59
190,65
191,66
192,67
193,68
194,69
195,75
196,76
197,77
198,78
199,79
200,85
201,86
202,87
203,88
204,89
205,95
206,96
207,97
208,98
209,99
210,105
211,106
212,107
213,108
214,109
215,115
216,116
217,117
218,118
219,119
220,125
221,126
222,127
223,128
224,129
225,135
226,136
227,137
228,138
229,139
230,145
231,146
232,147
233,148
234,149
235,155
236,156
237,157
238,158
239,159
240,165
241,166
242,167
243,168
244,169
245,175
246,176
247,177
248,178
249,179
250,185
251,186
252,187
253,188
254,189
255,195
256,196
257,197
258,198
259,199
260,205
261,206
262,207
263,208
264,209
265,215
266,216
267,217
268,218
269,219
270,225
271,226
272,227
273,228
274,229
275,235
276,236
277,237
278,238
279,239
280,245
281,246
282,247
283,248
284,249
285,255
286,256
287,257
288,258
289,259
290,265
291,266
292,267
293,268
294,269
295,275
296,276
297,277
298,278
299,279
300,285
301,286
302,287
303,288
304,289
305,295
306,296
307,297
308,298
309,299
310,305
311,306
312,307
313,308
314,309
315,315
316,316
317,317
318,318
319,319
