pe,owned_groups,first_group,last_group,nonzero_products,ratio_to_mean
0,2,0,1,768,2.2588235294117647
1,2,2,3,896,2.635294117647059
2,2,4,5,896,2.635294117647059
3,2,6,7,832,2.447058823529412
4,2,8,9,832,2.447058823529412
5,2,10,11,832,2.447058823529412
6,2,12,13,832,2.447058823529412
7,2,14,15,896,2.635294117647059
8,2,16,17,896,2.635294117647059
9,2,18,19,768,2.2588235294117647
10,2,20,21,896,2.635294117647059
11,2,22,23,896,2.635294117647059
12,2,24,25,640,1.8823529411764706
13,2,26,27,0,0.0
14,2,28,29,0,0.0
15,2,30,31,0,0.0
16,2,32,33,0,0.0
17,2,34,35,0,0.0
18,2,36,37,0,0.0
19,2,38,39,0,0.0
20,2,40,41,0,0.0
21,2,42,43,0,0.0
22,2,44,45,0,0.0
23,2,46,47,0,0.0
24,2,48,49,0,0.0
25,2,50,51,0,0.0
26,2,52,53,0,0.0
27,2,54,55,0,0.0
28,2,56,57,0,0.0
29,2,58,59,0,0.0
30,2,60,61,0,0.0
31,2,62,63,0,0.0
